index,subject,verb,object,start,end,subj_dep,subj_tag,obj_dep,obj_tag,Document,clean_verbs,clean_objs
289309,who,love,father,114,131,nsubj,WP,dobj,NN,8795,love,father
289322,united states,has been supporting,fighters,451,487,nsubj,NNP,dobj,NNS,8795,support,fighter
289329,country,needs,brains,91,102,nsubj,NN,dobj,NNS,8796,need,brain
289466,you,supported,host,117,130,nsubj,PRP,dobj,NN,8801,support,host
289544,you,called,women,34,38,nsubj,PRP,dobj,NNS,8806,call,woman
289668,country,needs,brains,292,303,nsubj,NN,dobj,NNS,8812,need,brain
289708,you,'ve called,women,110,121,nsubj,PRP,dobj,NNS,8814,call,woman
289717,trump,called,lawyer,339,355,nsubj,NNP,dobj,NN,8814,call,lawyer
289741,it,undermines,person,1142,1147,nsubj,PRP,dobj,NN,8814,undermine,person
289745,he,molested,daughter,1213,1230,nsubj,PRP,dobj,NN,8814,molest,daughter
289765,former,mocked,boss,395,406,nsubj,JJ,dobj,NN,8816,mock,boss
289820,you,'ve called,women,890,893,nsubj,PRP,dobj,NNS,8817,call,woman
289928,he,'s reminding,supporters,836,852,nsubj,PRP,dobj,NNS,8819,remind,supporter
289973,i,elect,senators,354,375,nsubj,PRP,dobj,NNS,8820,elect,senator
290032,he,loved,mother,1061,1073,nsubj,PRP,dobj,NN,8821,love,mother
290078,you,'ve called,women,249,253,nsubj,PRP,dobj,NNS,8822,call,woman
290124,bowerman,tested,men,681,690,nsubj,NNP,dobj,NNS,8824,test,man
290142,they,influenced,heroes,191,195,nsubj,PRP,dobj,NNS,8825,influence,hero
290167,who,marry,sister,752,788,nsubj,WP,dobj,NN,8825,marry,sister
290197,i,liked,men,1511,1516,nsubj,PRP,dobj,NN,8825,like,man
290208,this,allows,villain,1839,1842,nsubj,DT,dobj,NN,8825,allow,villain
290260,he,can't attack,brother,840,845,nsubj,PRP,dobj,NN,8826,attack,brother
290261,he,can't criticize,brother,861,866,nsubj,PRP,dobj,NN,8826,criticize,brother
290407,campaign,invited,reporters,2004,2008,nsubj,NN,dobj,NNS,8829,invite,reporter
290579,which,force,judges,418,428,nsubj,WDT,dobj,NNS,8834,force,judge
